Pitcher,Date,PitchCall,TaggedPitchType,PlateLocHeight,PlateLocSide,PlayResult,Angle,TaggedHitType,ExitSpeed,Strikes,Balls,xwOBACON_value,PitchofPA,woba_value,Run_Value,BatterSide,RelSpeed,InducedVertBreak,HorzBreak,SpinAxis,SpinRate,RelHeight,RelSide,Extension,wStuff_plus_2,Stuff_plus,VertApprAngle,pitchzone
Pitcher 1,2023-10-05,BallCalled,Fastball,3.4817,-0.32934,Undefined,NA,Undefined,NA,0,0,NA,1,0,0.037552045,Right,92.18313,19.01879,4.00618,192.588219,2463.35706,4.81932,1.79734,5.57677,286.72808932494604,118.07727447912679,-2.898006,Shadow
Pitcher 1,2023-10-05,StrikeCalled,Fastball,1.93747,-0.44114,Undefined,NA,Undefined,NA,0,0,NA,1,0,-0.045277334999999995,Right,92.93299,18.77194,10.34138,210.26796,2685.464473,4.72186,1.81987,5.59859,214.4092551280366,107.60031516598478,-4.400796,Heart
Pitcher 1,2023-10-05,InPlay,Fastball,2.12706,-0.31023,Double,23.292384,FlyBall,102.62314,0,0,1.242,2,1.25,0.750304003,Right,92.34531,19.29036,12.03217,213.440751,2529.355031,4.74683,1.82945,5.58985,290.6867588247251,118.65077403486401,-4.221653,Heart
Pitcher 1,2023-10-05,FoulBall,Fastball,2.83385,0.85322,Undefined,83.607438,Undefined,64.67338,0,0,0.001,1,0,-0.045277334999999995,Right,91.96587,16.93178,12.68351,218.625477,2507.117193,4.73502,1.6736,5.78226,196.65817165789232,105.02868384274593,-3.677881,Shadow
Pitcher 1,2023-10-05,FoulBall,Fastball,2.17286,1.23163,Undefined,NA,Undefined,NA,1,0,NA,2,0,-0.059661138,Right,92.46937,15.51312,16.24316,228.48705,2682.73478,4.70979,1.92357,5.85077,190.99585229712181,104.2083734738138,-4.48694,Chase
Pitcher 1,2023-10-05,BallCalled,Fastball,1.76326,-1.46048,Undefined,NA,Undefined,NA,1,1,NA,3,0,0.049822701999999996,Right,92.87751,15.29926,9.30981,213.001914,2650.482263,4.59097,1.76714,5.68084,182.03523795119878,102.91023319036597,-4.720371,Chase
Pitcher 3,2023-10-05,BallCalled,Fastball,3.36436,-0.69258,Undefined,NA,Undefined,NA,0,0,NA,1,0,0.037552045,Right,90.95407,17.98973,-15.96143,136.021659,2388.353242,5.4346,-2.32483,4.41175,216.16076140814442,107.85405902451323,-4.03692,Shadow
Pitcher 3,2023-10-05,FoulBall,Fastball,1.51082,-0.60921,Undefined,38.924522,Undefined,83.03255,0,1,0.016,2,0,-0.054525726,Right,89.97545,15.21741,-19.65643,125.062409,2300.753568,5.49925,-2.10844,4.81491,144.01901845397012,97.40275523756233,-6.319316,Shadow
Pitcher 3,2023-10-05,FoulBall,Fastball,2.18723,-0.96725,Undefined,71.204817,Undefined,77.82573,1,2,0.004,4,0,-0.074261513,Right,89.0713,19.09316,-18.73359,133.343583,2286.84752,5.44983,-2.29535,4.59749,209.17643642416084,106.84222732811561,-5.277759,Shadow
Pitcher 3,2023-10-05,InPlay,Fastball,1.72222,0.22142,Out,18.565877,LineDrive,87.05686,2,2,0.656,5,0,-0.24428350499999998,Right,89.32726,7.64831,-12.68107,116.724902,1773.202394,5.40659,-2.25614,4.66048,79.1703269310991,88.00800890155666,-6.63628,Shadow
